difficulty,key,category,speaker,context,source_en,style_guide,required_preserve,expected_challenge,translation_ko,naturalness_score,translationese_risk,preserved_tokens,validation_status,validation_errors
1,retest_v2_ui_begin,ui,System,Title menu button,Begin Run,짧은 UI 버튼,,기본 메뉴 번역,런 시작,9,low,,pass,
1,retest_v2_ui_settings,ui,System,Title menu button,Preferences,짧은 UI 버튼,,짧은 메뉴 용어 선택,환경 설정,9,low,,pass,
1,retest_v2_item_ring,item,System,Inventory item name,Copper Ring,아이템명은 짧게,,기본 아이템명,구리 반지,9,low,,pass,
2,retest_v2_checkpoint,ui,System,After reaching checkpoint,Checkpoint reached.,간결한 시스템 문구,,자연스러운 완료 메시지,체크포인트에 도달했습니다.,9,low,,pass,
2,retest_v2_energy_desc,item,System,Consumable tooltip,Restores 15 energy.,짧은 설명문,15,숫자와 게임 용어 유지,15 스태미나를 회복합니다.,9,low,15,pass,
2,retest_v2_pin_task,ui,System,Objective list button,Pin Task,짧은 버튼 문구,,명령형 UI 번역,작업 고정,9,low,,pass,
3,retest_v2_blunt_jab,dialogue,Kael,Player chooses wrong route,Left again. Impressive.,건조한 반말,,짧은 비꼼 대사,또 왼쪽이네. 대단해.,9,low,,pass,
3,retest_v2_gentle_warning,dialogue,Sera,Before foggy path,Stay behind me. The fog is thicker here.,차분한 존댓말,,존댓말과 경고,제 뒤에 계세요. 여긴 안개가 더 짙습니다.,9,low,,pass,
3,retest_v2_child_request,dialogue,Pip,Child asks for help,My bell fell into the well.,어린아이 말투,,캐릭터 나이감,내 방울이 우물에 빠졌어.,9,low,,pass,
4,retest_v2_name_placeholder,dialogue,Sera,Welcoming player,"Welcome back, {riderName}.",차분한 존댓말,{riderName},placeholder 보존,"돌아오신 걸 환영합니다, {riderName}.",9,low,{riderName},pass,
4,retest_v2_armor_format,combat,System,Buff tooltip,Gain %s armor for 1 round.,전투 설명,%s,printf 토큰 보존,%s 방어도를 얻습니다.,9,low,%s,pass,
4,retest_v2_slot_count,ui,System,Inventory capacity,Slots used: {used}/{limit},짧은 UI 문구,{used} {limit},복수 placeholder 보존,사용 슬롯: {used}/{limit},9,low,{used} {limit},pass,
5,retest_v2_linebreak_tension,dialogue,Kael,Monster nearby,Stop.\nDo you hear that?,짧고 긴장감 있는 반말,\n,문자열 줄바꿈 보존,멈춰.\n들려?,8,low,\n,pass,
5,retest_v2_tab_warning,system,System,Debug warning,Bad node:\t%03d,기술 문구는 의미 우선,\t %03d,탭 escape와 포맷 보존,잘못된 항목:\t%03d,8,low,%03d \t,pass,
5,retest_v2_child_fear,dialogue,Pip,Child saw monster,"No, no...\nIt saw us.",어린아이 말투,\n,감정선과 줄바꿈,"안 돼, 안 돼...\n우릴 봤어.",8,low,\n,pass,
